NUTS_ID_2013,urban_rural
AT111,3
AT112,3
AT113,3
AT121,3
AT122,2
AT123,3
AT124,3
AT125,3
AT126,1
AT127,2
AT130,1
AT211,2
AT212,3
AT213,3
AT221,2
AT222,3
AT223,2
AT224,3
AT225,3
AT226,3
AT311,3
AT312,2
AT313,3
AT314,3
AT315,3
AT321,3
AT322,3
AT323,2
AT331,3
AT332,1
AT333,3
AT334,3
AT335,3
AT341,3
AT342,1
BE100,1
BE211,1
BE212,1
BE213,2
BE221,1
BE222,2
BE223,2
BE231,1
BE232,1
BE233,2
BE234,2
BE235,2
BE236,1
BE241,1
BE242,2
BE251,2
BE252,2
BE253,2
BE254,1
BE255,2
BE256,2
BE257,2
BE258,2
BE310,2
BE321,3
BE322,1
BE323,1
BE324,1
BE325,2
BE326,2
BE327,3
BE331,3
BE332,1
BE334,3
BE335,2
BE336,3
BE341,3
BE342,3
BE343,3
BE344,3
BE345,3
BE351,3
BE352,2
BE353,3
BG311,3
BG312,2
BG313,2
BG314,2
BG315,2
BG321,2
BG322,2
BG323,2
BG324,3
BG325,3
BG331,2
BG332,2
BG333,2
BG334,3
BG341,2
BG342,2
BG343,2
BG344,2
BG411,1
BG412,3
BG413,2
BG414,2
BG415,2
BG421,2
BG422,2
BG423,2
BG424,3
BG425,3
CH011,1
CH012,2
CH013,1
CH021,2
CH022,2
CH023,1
CH024,2
CH025,3
CH031,1
CH032,1
CH033,1
CH040,1
CH051,2
CH052,1
CH053,2
CH054,2
CH055,1
CH056,3
CH057,2
CH061,2
CH062,2
CH063,2
CH064,2
CH065,2
CH066,2
CH070,1
CY000,2
CZ010,1
CZ020,1
CZ031,3
CZ032,3
CZ041,2
CZ042,2
CZ051,2
CZ052,2
CZ053,3
CZ063,3
CZ064,2
CZ071,2
CZ072,2
CZ080,2
DE111,1
DE112,1
DE113,1
DE114,1
DE115,1
DE116,1
DE117,2
DE118,2
DE119,3
DE11A,3
DE11B,3
DE11C,2
DE11D,2
DE121,1
DE122,1
DE123,1
DE124,1
DE125,1
DE126,1
DE127,3
DE128,1
DE129,2
DE12A,3
DE12B,2
DE12C,3
DE131,2
DE132,2
DE133,2
DE134,2
DE135,3
DE136,2
DE137,2
DE138,2
DE139,2
DE13A,2
DE141,2
DE142,2
DE143,2
DE144,2
DE145,2
DE146,3
DE147,2
DE148,2
DE149,3
DE211,2
DE212,1
DE213,2
DE214,2
DE215,2
DE216,2
DE217,2
DE218,2
DE219,2
DE21A,3
DE21B,2
DE21C,2
DE21D,2
DE21E,3
DE21F,2
DE21G,3
DE21H,1
DE21I,3
DE21J,2
DE21K,2
DE21L,2
DE21M,3
DE21N,2
DE221,3
DE222,3
DE223,3
DE224,3
DE225,3
DE226,3
DE227,3
DE228,3
DE229,3
DE22A,3
DE22B,3
DE22C,3
DE231,2
DE232,2
DE233,3
DE234,2
DE235,3
DE236,3
DE237,3
DE238,2
DE239,3
DE23A,3
DE241,2
DE242,2
DE243,2
DE244,2
DE245,2
DE246,2
DE247,2
DE248,2
DE249,2
DE24A,3
DE24B,3
DE24C,3
DE24D,3
DE251,3
DE252,1
DE253,1
DE254,1
DE255,1
DE256,3
DE257,1
DE258,1
DE259,2
DE25A,3
DE25B,2
DE25C,3
DE261,1
DE262,2
DE263,2
DE264,1
DE265,3
DE266,3
DE267,3
DE268,3
DE269,2
DE26A,3
DE26B,2
DE26C,2
DE271,1
DE272,2
DE273,2
DE274,3
DE275,2
DE276,1
DE277,3
DE278,3
DE279,2
